"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.01,-3.145,-6.084
0.02,-3.154,-6.084
0.03,-3.142,-6.084
0.04,-3.142,-6.084
0.05,-3.145,-6.084
0.06,-3.142,-6.084
0.07,-3.148,-6.084
0.08,-3.142,-6.084
0.09,-3.142,-6.084
0.10,-3.142,-6.084
0.11,-3.145,-6.084
0.12,-3.154,-6.084
0.13,-3.139,-6.084
0.14,-3.142,-6.084
0.15,-3.145,-6.084
0.16,-3.145,-6.084
0.17,-3.154,-6.084
0.18,-3.145,-6.084
0.19,-3.145,-6.084
0.20,-3.145,-6.084
0.21,-3.145,-6.084
0.22,-3.157,-6.084
0.23,-3.148,-6.084
0.24,-3.145,-6.084
0.25,-3.142,-6.084
0.26,-3.145,-6.084
0.27,-3.151,-6.084
0.28,-3.157,-6.084
0.29,-3.145,-6.084
0.30,-3.148,-6.084
0.31,-3.151,-6.084
0.32,-3.151,-6.084
0.33,-3.163,-6.084
0.34,-3.148,-6.084
0.35,-3.145,-6.084
0.36,-3.145,-6.084
0.37,-3.145,-6.084
0.38,-3.154,-6.084
0.39,-3.142,-6.084
0.40,-3.142,-6.084
0.41,-3.142,-6.084
0.42,-3.142,-6.084
0.43,-3.154,-6.084
0.44,-3.142,-6.084
0.45,-3.142,-6.084
0.46,-3.142,-6.084
0.47,-3.142,-6.084
0.48,-3.151,-6.084
0.49,-3.145,-6.084
0.50,-3.142,-6.084
0.51,-3.145,-6.084
0.52,-3.145,-6.084
0.53,-3.151,-6.084
0.54,-3.151,-6.084
0.55,-3.142,-6.084
0.56,-3.145,-6.084
0.57,-3.145,-6.084
0.58,-3.145,-6.084
0.59,-3.160,-6.084
0.60,-3.145,-6.084
0.61,-3.148,-6.084
0.62,-3.148,-6.084
0.63,-3.148,-6.084
0.64,-3.160,-6.084
0.65,-3.148,-6.084
0.66,-3.151,-6.084
0.67,-3.148,-6.084
0.68,-3.151,-6.084
0.69,-3.160,-6.084
0.70,-3.151,-6.084
0.71,-3.145,-6.084
0.72,-3.145,-6.084
0.73,-3.145,-6.084
0.74,-3.145,-6.084
0.75,-3.151,-6.084
0.76,-3.142,-6.084
0.77,-3.142,-6.084
0.78,-3.142,-6.084
0.79,-3.145,-6.084
0.80,-3.160,-6.084
0.81,-3.142,-6.084
0.82,-3.142,-6.084
0.83,-3.145,-6.084
0.84,-3.142,-6.084
0.85,-3.157,-6.084
0.86,-3.145,-6.084
0.87,-3.145,-6.084
0.88,-3.145,-6.084
0.89,-3.142,-6.084
0.90,-3.157,-6.084
0.91,-3.145,-6.084
0.92,-3.145,-6.084
0.93,-3.145,-6.084
0.94,-3.148,-6.084
0.95,-3.157,-6.084
0.96,-3.154,-6.084
0.97,-3.145,-6.084
0.98,-3.148,-6.084
0.99,-3.151,-6.084
1.00,-3.151,-6.084
1.01,-3.166,-6.084
1.02,-3.151,-6.084
1.03,-3.148,-6.084
1.04,-3.148,-6.084
1.05,-3.151,-6.084
1.06,-3.163,-6.084
1.07,-3.145,-6.084
1.08,-3.142,-6.084
1.09,-3.142,-6.084
1.10,-3.145,-6.084
1.11,-3.157,-6.084
1.12,-3.142,-6.084
1.13,-3.142,-6.084
1.14,-3.142,-6.084
1.15,-3.145,-6.084
1.16,-3.151,-6.084
1.17,-3.151,-6.084
1.18,-3.145,-6.084
1.19,-3.142,-6.084
1.20,-3.142,-6.084
1.21,-3.145,-6.084
1.22,-3.160,-6.084
1.23,-3.145,-6.084
1.24,-3.145,-6.084
1.25,-3.145,-6.084
1.26,-3.148,-6.084
1.27,-3.160,-6.084
1.28,-3.145,-6.084
1.29,-3.148,-6.084
1.30,-3.148,-6.084
1.31,-3.148,-6.084
1.32,-3.160,-6.084
1.33,-3.148,-6.084
1.34,-3.148,-6.084
1.35,-3.151,-6.084
1.36,-3.154,-6.084
1.37,-3.166,-6.084
1.38,-3.154,-6.084
1.39,-3.148,-6.084
1.40,-3.151,-6.084
1.41,-3.151,-6.084
1.42,-3.145,-6.084
1.43,-3.157,-6.084
1.44,-3.142,-6.084
1.45,-3.145,-6.084
1.46,-3.142,-6.084
1.47,-3.145,-6.084
1.48,-3.160,-6.084
1.49,-3.142,-6.084
1.50,-3.145,-6.084
1.51,-3.148,-6.084
1.52,-3.145,-6.084
1.53,-3.157,-6.084
1.54,-3.148,-6.084
1.55,-3.145,-6.084
1.56,-3.145,-6.084
1.57,-3.145,-6.084
1.58,-3.151,-6.084
1.59,-3.160,-6.084
1.60,-3.148,-6.084
1.61,-3.148,-6.084
1.62,-3.148,-6.084
