"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.00,-2.716,-6.084
0.01,-2.719,-6.084
0.02,-2.740,-6.084
0.03,-2.761,-6.084
0.04,-2.773,-6.084
0.05,-2.779,-6.084
0.06,-2.776,-6.084
0.07,-2.764,-6.084
0.08,-2.752,-6.084
0.09,-2.740,-6.084
0.10,-2.734,-6.084
0.11,-2.732,-6.084
0.12,-2.728,-6.084
0.13,-2.723,-6.084
0.14,-2.719,-6.084
0.15,-2.716,-6.084
0.16,-2.716,-6.084
0.17,-2.716,-6.084
0.18,-2.716,-6.084
0.19,-2.716,-6.084
0.20,-2.725,-6.084
0.21,-2.728,-6.084
0.22,-2.728,-6.084
0.23,-2.728,-6.084
0.24,-2.728,-6.084
0.25,-2.723,-6.084
0.26,-2.723,-6.084
0.27,-2.719,-6.084
0.28,-2.713,-6.084
0.29,-2.713,-6.084
0.30,-2.719,-6.084
0.31,-2.723,-6.084
0.32,-2.716,-6.084
0.33,-2.716,-6.084
0.34,-2.716,-6.084
0.35,-2.713,-6.084
0.36,-2.713,-6.084
0.37,-2.711,-6.084
0.38,-2.713,-6.084
0.39,-2.719,-6.084
0.40,-2.719,-6.084
0.41,-2.719,-6.084
0.42,-2.716,-6.084
0.43,-2.713,-6.084
0.44,-2.713,-6.084
0.45,-2.713,-6.084
0.46,-2.711,-6.084
0.47,-2.711,-6.084
0.48,-2.711,-6.084
0.49,-2.719,-6.084
0.50,-2.719,-6.084
0.51,-2.713,-6.084
0.52,-2.716,-6.084
0.53,-2.713,-6.084
0.54,-2.713,-6.084
0.55,-2.716,-6.084
0.56,-2.719,-6.084
0.57,-2.719,-6.084
0.58,-2.728,-6.084
0.59,-2.740,-6.084
0.60,-2.728,-6.084
0.61,-2.728,-6.084
0.62,-2.725,-6.084
0.63,-2.719,-6.084
0.64,-2.713,-6.084
0.65,-2.713,-6.084
0.66,-2.713,-6.084
0.67,-2.713,-6.084
0.68,-2.719,-6.084
0.69,-2.723,-6.084
0.70,-2.719,-6.084
0.71,-2.716,-6.084
0.72,-2.716,-6.084
0.73,-2.713,-6.084
0.74,-2.713,-6.084
0.75,-2.713,-6.084
0.76,-2.711,-6.084
0.77,-2.713,-6.084
0.78,-2.719,-6.084
0.79,-2.719,-6.084
0.80,-2.716,-6.084
0.81,-2.716,-6.084
0.82,-2.713,-6.084
0.83,-2.713,-6.084
0.84,-2.711,-6.084
0.85,-2.711,-6.084
0.86,-2.713,-6.084
0.87,-2.719,-6.084
0.88,-2.725,-6.084
0.89,-2.728,-6.084
0.90,-2.728,-6.084
0.91,-2.728,-6.084
0.92,-2.728,-6.084
0.93,-2.725,-6.084
0.94,-2.719,-6.084
0.95,-2.713,-6.084
0.96,-2.711,-6.084
0.97,-2.719,-6.084
0.98,-2.723,-6.084
0.99,-2.719,-6.084
1.00,-2.716,-6.084
1.01,-2.716,-6.084
1.02,-2.713,-6.084
1.03,-2.713,-6.084
1.04,-2.713,-6.084
1.05,-2.713,-6.084
1.06,-2.713,-6.084
1.07,-2.719,-6.084
1.08,-2.723,-6.084
1.09,-2.716,-6.084
1.10,-2.716,-6.084
1.11,-2.716,-6.084
1.12,-2.713,-6.084
1.13,-2.713,-6.084
1.14,-2.716,-6.084
1.15,-2.711,-6.084
1.16,-2.716,-6.084
1.17,-2.719,-6.084
1.18,-2.719,-6.084
1.19,-2.725,-6.084
1.20,-2.728,-6.084
1.21,-2.728,-6.084
1.22,-2.725,-6.084
1.23,-2.723,-6.084
1.24,-2.723,-6.084
1.25,-2.719,-6.084
1.26,-2.725,-6.084
1.27,-2.723,-6.084
1.28,-2.719,-6.084
1.29,-2.716,-6.084
1.30,-2.716,-6.084
1.31,-2.713,-6.084
1.32,-2.713,-6.084
1.33,-2.716,-6.084
1.34,-2.713,-6.084
1.35,-2.713,-6.084
1.36,-2.716,-6.084
1.37,-2.719,-6.084
1.38,-2.719,-6.084
1.39,-2.716,-6.084
1.40,-2.716,-6.084
1.41,-2.716,-6.084
1.42,-2.713,-6.084
1.43,-2.713,-6.084
1.44,-2.713,-6.084
1.45,-2.713,-6.084
1.46,-2.716,-6.084
1.47,-2.723,-6.084
1.48,-2.719,-6.084
1.49,-2.723,-6.084
1.50,-2.728,-6.084
1.51,-2.728,-6.084
1.52,-2.725,-6.084
1.53,-2.725,-6.084
1.54,-2.725,-6.084
1.55,-2.723,-6.084
1.56,-2.725,-6.084
1.57,-2.723,-6.084
1.58,-2.723,-6.084
1.59,-2.719,-6.084
1.60,-2.716,-6.084
1.61,-2.716,-6.084
1.62,-2.716,-6.084
1.63,-2.716,-6.084
1.64,-2.713,-6.084
1.65,-2.713,-6.084
1.66,-2.716,-6.084
1.67,-2.723,-6.084
1.68,-2.716,-6.084
1.69,-2.716,-6.084
1.70,-2.716,-6.084
1.71,-2.716,-6.084
1.72,-2.716,-6.084
1.73,-2.716,-6.084
1.74,-2.716,-6.084
1.75,-2.713,-6.084
1.76,-2.719,-6.084
1.77,-2.723,-6.084
1.78,-2.716,-6.084
1.79,-2.719,-6.084
1.80,-2.723,-6.084
1.81,-2.728,-6.084
1.82,-2.728,-6.084
1.83,-2.723,-6.084
1.84,-2.723,-6.084
1.85,-2.723,-6.084
1.86,-2.728,-6.084
1.87,-2.725,-6.084
1.88,-2.723,-6.084
1.89,-2.719,-6.084
1.90,-2.719,-6.084
1.91,-2.716,-6.084
1.92,-2.716,-6.084
1.93,-2.713,-6.084
1.94,-2.713,-6.084
1.95,-2.716,-6.084
1.96,-2.719,-6.084
1.97,-2.723,-6.084
1.98,-2.719,-6.084
1.99,-2.716,-6.084
2.00,-2.716,-6.084
2.01,-2.716,-6.084
2.02,-2.716,-6.084
