"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.01,-3.145,-6.084
0.02,-3.145,-6.084
0.03,-3.148,-6.084
0.04,-3.142,-6.084
0.05,-3.145,-6.084
0.06,-3.145,-6.084
0.07,-3.151,-6.084
0.08,-3.145,-6.084
0.09,-3.142,-6.084
0.10,-3.145,-6.084
0.11,-3.148,-6.084
0.12,-3.160,-6.084
0.13,-3.154,-6.084
0.14,-3.154,-6.084
0.15,-3.160,-6.084
0.16,-3.160,-6.084
0.17,-3.145,-6.084
0.18,-3.142,-6.084
0.19,-3.142,-6.084
0.20,-3.145,-6.084
0.21,-3.145,-6.084
0.22,-3.142,-6.084
0.23,-3.142,-6.084
0.24,-3.145,-6.084
0.25,-3.148,-6.084
0.26,-3.142,-6.084
0.27,-3.145,-6.084
0.28,-3.145,-6.084
0.29,-3.151,-6.084
0.30,-3.145,-6.084
0.31,-3.145,-6.084
0.32,-3.145,-6.084
0.33,-3.157,-6.084
0.34,-3.160,-6.084
0.35,-3.154,-6.084
0.36,-3.154,-6.084
0.37,-3.151,-6.084
0.38,-3.151,-6.084
0.39,-3.142,-6.084
0.40,-3.145,-6.084
0.41,-3.145,-6.084
0.42,-3.148,-6.084
0.43,-3.151,-6.084
0.44,-3.145,-6.084
0.45,-3.145,-6.084
0.46,-3.148,-6.084
0.47,-3.151,-6.084
0.48,-3.142,-6.084
0.49,-3.145,-6.084
0.50,-3.148,-6.084
0.51,-3.151,-6.084
0.52,-3.145,-6.084
0.53,-3.142,-6.084
0.54,-3.154,-6.084
0.55,-3.160,-6.084
0.56,-3.166,-6.084
0.57,-3.160,-6.084
0.58,-3.157,-6.084
0.59,-3.151,-6.084
0.60,-3.151,-6.084
0.61,-3.145,-6.084
0.62,-3.145,-6.084
0.63,-3.148,-6.084
0.64,-3.151,-6.084
0.65,-3.142,-6.084
0.66,-3.145,-6.084
0.67,-3.145,-6.084
0.68,-3.148,-6.084
0.69,-3.154,-6.084
0.70,-3.145,-6.084
0.71,-3.148,-6.084
0.72,-3.148,-6.084
0.73,-3.154,-6.084
0.74,-3.148,-6.084
